"Dutch","Nederlands"
"English","Engels"
"German","Duits"
"French","Frans"
"Spanish","Spaans"
"Interface language","Taal betaalomgeving"
"New order status","Status nieuwe bestelling"
"Payment complete status","Status betaalde bestelling"
"Create invoice after payment","Maak factuur aan na betaling"
"Mail invoice to customer", "Mail factuur naar consument"
"Gateway selection","Gateway selectie"
"Auto redirect","Automatische redirect"
"Bank selection","Bank selectie"
"Direct Debit","Automatische incasso"
"Bank Transfer","Overboeking"
"Banktransfer","Overboeking"
"- Or use -","- Of kies voor -"
"After notification","Na notificatie"
"After payment complete","Na betaling"
"Force accept agreements","Algemene voorwaarden"
"If enabled the customer must accept the terms and conditions in the fast checkout process","Wanneer ingeschakeld dient de consument akkoord te gaan met de algemene voorwaarden"
"Alternate Agreements URL","Alternatieve URL voorwaarden"
"Leave this empty for the standard URL for the agreements","Leeg laten voor de default URL"
"Add company name field","Voeg bedrijfsnaam veld toe"
"Company name cannot be empty","Maak bedrijfsnaam veld verplicht"
"This will enable the Table Rates method configured at Shipping Methods -> Table Rates","Dit schakeld de Table Rates verzendmethode in zoals ingesteld bij Verzendmethoden -> Table rates"
"Allowed Currency", "Toegestane valuta"
"Allow currency conversion to Euro", "Sta valuta conversie naar Euro toe"
"New order mail", "Nieuwe order email"
"E-mail invoice to customer", "Email de factuur naar de consument"
"Send the order update e-mail to customer", "Verstuur een order update email naar de consument"
"Keep the cart", "Bewaar de winkelwagen"
"Are you using the One Step Checkout Module?", "Gebruikt u de one step checkout module van onestepcheckout.com?"
"<![CDATA[<a href='https://www.multisafepay.com/en/Open-a-test-account.html' target='_blank'>Sign up for a free test account</a>]]>", "<![CDATA[<a href='https://www.multisafepay.com/en/Open-a-test-account.html' target='_blank'>Een test account aanmaken</a>]]>"
"Automatically redirects a customer back to the webshop after a succesful payment. (Skips MultiSafepay's 'Transaction Complete' screen)", "Redirect de consument terug naar de website na een geslaagde transactie?"
"Receive payments from applicable countries", "Voor welke landen staan we betalingen toe?"
"Receive payments from specific countries", "Specificeer de landen die de betaalmethode kunnen gebruiken"
"After order confirmation", "Na het plaatsen van de order"
"After notification, including cancelled order", "Na een status update, inclusief een geannuleerde transactie"
"After notification, excluding cancelled order", "Na een status update, exclusief een geannuleerde transactie"
"If store currency is not allowed by settings. Used for each gateways.", "Wanneer de winkel valuta niet is toegestaan voor de gekozen betaalmethoden dan vindt er een conversie plaats naar Euro"
"Show the gateway image if it exists", "Toon het logo van de betaalmethode wanneer deze bestaat"
"Show iDEAL banklist in checkout", "Toon de keuze van de bank binnen de website"
"Account ID (for Test Accounts)", "Account ID voor de test omgeving"
"Site ID (for Test Accounts)", "Site ID voor de test omgeving"
"Site Code (for Test Accounts)", "Site Secure Code voor de test omgeving"
"Enable the invoice e-mail for this payment method?", "Activeer de factuur e-mail voor deze betaalmethoden?"
"Enable IP validation", "IP validatie activeren?"
"Only visible for the following IP address", "De betaalmethoden is alleen zichtbaar voor deze IP adressen"
"You can add multiple addresses seperated by ;", "U kunt meerdere IP adressen toevoegen, gescheiden door een ;"
"Only visible for the following IP address (for Test Account)", "Alleen zichtbaar voor de volgende IP adressen (voor de test omgeving)"
"Enable Test Account for these IP(s) when enabled Live Account", "Activeer de test instellingen voor deze IP adressen wanneer het live account actief is"
"Send request after complete order", "Verstuur vezoek na een complete order"
"Request will be send after update statuse to Complete for PAD only", "Verzoek zal verstuurd worden nadat de status is aangepast naar Complete, alleen voor Betaal na Ontvangst"
"Use for refund?", "Refunds toestaan bij het aanmaken van een creditmemo?"
"Send new account email", "Verstuur nieuw account e-mail"
"Send the new account email when a customer account is created after using Fast Checkout", "Verstuur een nieuw account email wanneer een account binnen Magento is aangemaakt door Fast Checkout"
"Automatic login", "Klant automatisch inloggen?"
"Login the customer after returning from Fast Checkout ", "Log de consument in na het terugkeren via Fast Checkout?"
"Let the customer redirect to their account page", "Redirect de consument naar zijn account pagina na een transactie?"
"Company name", "Bedrijfsnaam"
"Birthday", "Geboortedatum"
"Phonenumber", "Telefoonnummer"
"Salutation", "Aanhef"
"Chamber of Commerce (CoC/KvK)", "Kamer van Koophandel"
"VAT number", "B.T.W. nummer"
"Passport number", "Paspoort nummer"
"Drivers license", "Rijbewijs nummer"
"Sex", "Geslacht"
"Cart remains active when the customer returns to the webshop or cancels an order", "De winkelwagen is actief na het annuleren van een transactie"
"Fee in EURO. Example 2.95 (2.95 is the maximum)", "Toeslag in Euro. Bijvoorbeeld 2.95 (2.95 is het maximaal toegestane)"
"Enable fee (inc. Tax)", "Activeer toeslag (Inclusief B.T.W.)"
"Payment fee amount", "Toeslag bedrag"
"Show payment fee incl. tax during checkout", "Toon de toeslag inclusief B.T.W tijdens de checkout"
"Tax class for payment fee", "B.T.W klasse voor de toeslag"
